,text
558,paralyze
559,illness
560,pneumonia
561,stitch
562,medic
563,physician
564,paralysis
565,bandaged
566,anesthesia
567,defibrillator
568,injured
569,morphine
570,condition
571,hospital
572,epilepsy
573,medical
574,patient
575,infirmary
576,bleed
577,recover
578,health
579,doctor
580,intensive
581,bleeding
582,unwell
583,resuscitate
584,disease
585,labor
586,gurney
587,morgue
588,injury
589,premature
590,operating
591,paramedic
592,symptom
593,birth
594,injure
595,nurse
596,emergency
597,surgeon
598,die
599,pancreatic
600,ventilator
601,medication
602,revive
603,complication
604,injection
605,diabetes
606,seizure
607,terminal
608,cancer
609,accident
610,swelling
611,leukemia
612,fever
613,trauma
614,overdose
615,medically
616,transfusion
617,comatose
618,infection
619,relapse
620,diagnose
621,cancerous
622,tuberculosis
623,concussion
624,911
625,surgery
626,hemorrhage
627,rehab
628,coma
629,bedridden
630,ambulance
631,transplant
632,blackout
633,sick
634,treatment
635,examination
636,cool
637,arctic
638,frosty
639,shiver
640,nip
641,windy
642,woolly
643,bitter
644,climate
645,numb
646,wet
647,drizzle
648,breeze
649,snowing
650,freezing
651,frostbite
652,coolness
653,feel
654,solstice
655,snowfall
656,snow
657,chilled
658,frost
659,dreary
660,icy
661,sleet
662,gust
663,coat
664,chilly
665,blizzard
666,crisp
667,glacier
668,winter
669,snowstorm
670,colder
671,insulate
672,brisk
673,air
674,frigid
675,froze
676,glacial
677,snowball
678,blister
679,chill
680,snowy
681,hypothermia
682,ice
683,damp
684,soak
685,outside
686,cloak
687,chilling
688,cold
689,nipping
690,wintry
691,shivering
692,touch
693,shivers
694,sweater
695,shawl
696,weather
697,torrential
698,overcast
699,slush
700,temperature
701,freeze
702,cooling
703,bitterly
704,cooler
705,spat
706,unhappiness
707,hypocrite
708,belittle
709,ignore
710,loathing
711,feeling
712,ashamed
713,hate
714,disgusting
715,heartless
716,angry
717,unreasonable
718,discriminate
719,degrading
720,suffering
721,despicable
722,cruel
723,hated
724,scum
725,bullying
726,disrespectful
727,vindictive
728,jealously
729,animosity
730,hateful
731,hatred
732,judgmental
733,hating
734,nasty
735,repulsive
736,despised
737,bad
738,venomous
739,dislike
740,rage
741,loathe
742,unkind
743,terrible
744,humiliation
745,rejection
746,mad
747,mistrust
748,infuriate
749,ridicule
750,resentment
751,annoying
752,taunt
753,seriously
754,kill
755,insensitive
756,loath
757,horrid
758,emotion
759,selfishness
760,selfish
761,humiliate
762,accusation
763,resent
764,unhappy
765,meanness
766,despise
767,scorn
768,hurtful
769,betray
770,worthless
771,blame
772,insult
773,bully
774,disgust
775,idiotic
776,anger
777,frustrating
778,betrayal
779,cruelty
780,rude
781,unfairness
782,envy
783,degrade
784,distrust
785,sexist
786,vengeful
787,murderous
788,miserable
789,detest
790,disrespect
791,awful
792,pathetic
793,negativity
794,harsh
795,betrayed
796,frustrate
797,irritate
798,worse
799,horrible
800,rant
801,racism
802,contempt
803,offend
804,jealous
805,guilt
806,cheering
807,joyous
808,exuberant
809,blissful
810,glee
811,gleeful
812,joyful
813,bask
814,delightfully
815,uplifting
816,laughter
817,sweetness
818,surprise
819,enthusiastically
820,positively
821,cheerfully
822,cheery
823,astonishment
824,cheerful
825,beaming
826,thrill
827,awed
828,gleefully
829,boisterous
830,happy
831,giddy
832,applause
833,exuberance
834,enjoyment
835,triumph
836,eagerness
837,happily
838,elated
839,gratitude
840,heartfelt
841,contented
842,elation
843,jovial
844,emotion
845,determination
846,overjoyed
847,cheer
848,pride
849,euphoric
850,glory
851,happiness
852,energetically
853,amusement
854,fondness
855,clap
856,contagious
857,euphoria
858,appreciation
859,joy
860,contentment
861,zealous
862,triumphantly
863,ecstatic
864,cheerfulness
865,spontaneity
866,satisfaction
867,lively
868,victorious
869,bliss
870,delight
871,enthusiasm
872,clapping
873,rejoice
874,buoyant
875,certainty
876,excitement
877,enthusiastic
878,optimism
879,delighted
880,exhilaration
881,pleasure
882,amazement
883,unrestrained
884,jubilant
885,adoration
886,friendliness
887,triumphant
888,infuriated
889,threatened
890,angered
891,feral
892,authoritative
893,belittle
894,angry
895,endanger
896,belligerent
897,outrage
898,lethal
899,brutality
900,temper
901,predatory
902,animosity
903,hateful
904,dangerous
905,hatred
906,brash
907,harshness
908,unfazed
909,intimidation
910,destructive
911,hostile
912,threat
913,brazen
914,maim
915,rage
916,irate
917,provocation
918,quash
919,domineering
920,violence
921,confrontational
922,dominate
923,brutal
924,agitated
925,barbaric
926,infuriate
927,resentment
928,fearsome
929,menacing
930,bloodthirsty
931,malicious
932,strong
933,ferocity
934,volatile
935,kill
936,seething
937,sadistic
938,intent
939,aggressiveness
940,threatening
941,menace
942,audacity
943,fierce
944,meanness
945,intimidating
946,aggressor
947,vicious
948,aggression
949,defiance
950,intimidated
951,ruthlessness
952,cockiness
953,wildness
954,force
955,betray
956,harass
957,assertive
958,insult
959,defend
960,masculinity
961,fearful
962,fight
963,intimidate
964,threaten
965,anger
966,snarl
967,unrelenting
968,deadly
969,cruelty
970,brute
971,livid
972,defiant
973,intensity
974,undermine
975,savage
976,hostility
977,spite
978,retaliation
979,ruthless
980,murderous
981,vengeful
982,bravado
983,outburst
984,violent
985,overpower
986,harsh
987,territorial
988,overconfident
989,attack
990,fear
991,malice
992,suppress
993,furious
994,incite
995,demeaning
996,confront
997,ruthlessly
998,resentful
999,aggressive
1000,contempt
1001,offend
1002,provoke
1003,warn
1004,ferocious
1005,actor
1006,colleague
1007,workplace
1008,policeman
1009,concierge
1010,cashier
1011,photographer
1012,qualified
1013,executive
1014,employ
1015,professional
1016,electrician
1017,inspector
1018,job
1019,neurologist
1020,attorney
1021,officer
1022,chef
1023,owner
1024,agent
1025,journalist
1026,intern
1027,policewoman
1028,entertainer
1029,gynecologist
1030,nanny
1031,retirement
1032,pediatric
1033,consultant
1034,retire
1035,employment
1036,physician
1037,salary
1038,receptionist
1039,therapist
1040,psychiatrist
1041,chemist
1042,secretary
1043,maid
1044,doctor
1045,publicist
1046,retired
1047,server
1048,bartender
1049,clerk
1050,singer
1051,foreman
1052,politician
1053,banker
1054,psychologist
1055,producer
1056,entrepreneur
1057,businessman
1058,caterer
1059,interview
1060,workaholic
1061,nurse
1062,catering
1063,lawyer
1064,surgeon
1065,businesswoman
1066,florist
1067,housekeeper
1068,supervise
1069,profession
1070,choreographer
1071,working
1072,assistant
1073,hairdresser
1074,accountant
1075,bodyguard
1076,qualification
1077,waitress
1078,waiter
1079,coordinator
1080,employee
1081,senator
1082,interpreter
1083,analyst
1084,service
1085,veterinarian
1086,technician
1087,baker
1088,specialist
1089,internship
1090,office
1091,hostess
1092,hire
1093,dentist
1094,detective
1095,pediatrician
1096,worker
1097,occupation
1098,accounting
1099,manager
1100,supervisor
1101,pharmacist
1102,envy
1103,discontent
1104,deception
1105,despised
1106,selfishness
1107,determination
1108,bitterness
1109,ugliness
1110,cynicism
1111,unrequited
1112,belittle
1113,hostility
1114,dislike
1115,frustration
1116,wealth
1117,rage
1118,arrogance
1119,hate
1120,weakness
1121,disdain
1122,jealousy
1123,resent
1124,yearning
1125,envious
1126,meanness
1127,ambition
1128,unease
1129,negativity
1130,misery
1131,annoyance
1132,outrage
1133,insecurity
1134,flaunt
1135,passion
1136,resentment
1137,wrath
1138,vindictive
1139,jealously
1140,heartache
1141,attraction
1142,animosity
1143,yearn
1144,hateful
1145,jealous
1146,hatred
1147,alertness
1148,anticipation
1149,nervous
1150,excite
1151,tantalizingly
1152,quivering
1153,delight
1154,enthusiasm
1155,tremor
1156,tremble
1157,trepidation
1158,steadily
1159,dread
1160,trembling
1161,giddy
1162,fevered
1163,agitation
1164,surge
1165,restlessness
1166,perspiration
1167,foreboding
1168,awareness
1169,feverishly
1170,yearning
1171,unsettle
1172,throbbing
1173,impatience
1174,intensify
1175,anxiously
1176,lust
1177,apprehensive
1178,excitement
1179,quickening
1180,fervent
1181,nervousness
1182,anticipated
1183,jittery
1184,aroused
1185,intensifies
1186,urgency
1187,quicken
1188,eager
1189,arouse
1190,impending
1191,joy
1192,contentment
1193,exhilaration
1194,eagerness
1195,tantalizing
1196,suspense
1197,longing
1198,eagerly
1199,pumping
1200,anticipate
1201,flutter
1202,uncertainty
1203,anxious
1204,apprehension
1205,quake
1206,readiness
1207,relish
1208,visibly
1209,adrenalin
1210,prospect
1211,thrill
1212,elation
1213,unconsciously
1214,yearn
1215,wildly
1216,curiosity
1217,adrenaline
1218,overwhelming
1219,frenzy
1220,grandchild
1221,mum
1222,son
1223,best
1224,niece
1225,childbirth
1226,newborn
1227,uncle
1228,baby
1229,grandmother
1230,stepmother
1231,orphaned
1232,darling
1233,adoptive
1234,estranged
1235,grandfather
1236,parents
1237,conceive
1238,home
1239,nephew
1240,wife
1241,offspring
1242,grandma
1243,illegitimate
1244,brother
1245,foster
1246,marry
1247,legacy
1248,cousin
1249,stepfather
1250,beloved
1251,in-law
1252,grandson
1253,biologically
1254,caretaker
1255,sibling
1256,adoption
1257,dad
1258,father
1259,visit
1260,family
1261,parent
1262,widowed
1263,daughter
1264,childhood
1265,finance
1266,stepdaughter
1267,biological
1268,stepson
1269,aunt
1270,spouse
1271,heir
1272,marriage
1273,sister
1274,mom
1275,godfather
1276,loving
1277,grandkids
1278,granddaddy
1279,fiancee
1280,grandparent
1281,divorce
1282,child
1283,adopt
1284,leave
1285,surrogate
1286,married
1287,daddy
1288,godmother
1289,granddaughter
1290,wedlock
1291,twin
1292,matriarch
1293,husband
1294,reunion
1295,orphan
1296,divorced
1297,mommy
1298,upbringing
1299,relative
1300,mother
1301,tropical
1302,sightseeing
1303,villa
1304,secluded
1305,venue
1306,rental
1307,carnival
1308,surf
1309,limo
1310,summer
1311,weekend
1312,hotel
1313,traveling
1314,packing
1315,holiday
1316,coastal
1317,luxurious
1318,hiking
1319,upscale
1320,countryside
1321,observatory
1322,museum
1323,harbor
1324,explore
1325,trip
1326,inn
1327,lax
1328,surfing
1329,resort
1330,ferry
1331,tour
1332,overnight
1333,expressway
1334,adventure
1335,stay
1336,landmark
1337,lake
1338,getaway
1339,suite
1340,destination
1341,spend
1342,waterfront
1343,scenic
1344,visit
1345,outing
1346,casino
1347,nightlife
1348,seaside
1349,lakeside
1350,beach
1351,brochure
1352,spa
1353,ticket
1354,journey
1355,abroad
1356,campground
1357,yearly
1358,ride
1359,excursion
1360,inland
1361,airport
1362,shoreline
1363,travel
1364,vacation
1365,skiing
1366,hostel
1367,plan
1368,flight
1369,honeymoon
1370,accommodation
1371,night
1372,spending
1373,condominium
1374,drive
1375,boarding
1376,touring
1377,location
1378,hangout
1379,outback
1380,nightclub
1381,coastline
1382,tourist
1383,reservation
1384,camping
1385,overseas
1386,yacht
1387,promotion
1388,cruise
1389,rent
1390,coast
1391,outside
1392,restaurant
1393,condo
1394,ocean
1395,seashore
1396,shore
1397,fun
1398,hostage
1399,accomplice
1400,unspeakable
1401,policeman
1402,prosecutor
1403,kidnapper
1404,condemn
1405,prison
1406,execution
1407,gambler
1408,scam
1409,kidnapping
1410,arrest
1411,murdering
1412,citizen
1413,assassinate
1414,crime
1415,slavery
1416,ambush
1417,forgery
1418,heist
1419,testify
1420,rob
1421,domestic
1422,forensic
1423,allegedly
1424,accuse
1425,treason
1426,brutality
1427,riot
1428,murder
1429,inmate
1430,conspire
1431,officer
1432,whereabouts
1433,report
1434,incriminate
1435,offender
1436,bribery
1437,burglary
1438,swindle
1439,investigation
1440,maim
1441,undercover
1442,authorities
1443,bail
1444,killing
1445,criminal
1446,genocide
1447,execute
1448,homicide
1449,violence
1450,unlawful
1451,manhunt
1452,mastermind
1453,custody
1454,organization
1455,smuggling
1456,interrogate
1457,probation
1458,mobster
1459,brutal
1460,rape
1461,convict
1462,motive
1463,fraud
1464,prosecute
1465,gruesome
1466,corrupt
1467,bombing
1468,ransom
1469,trespassing
1470,kill
1471,heinous
1472,law
1473,dealer
1474,robber
1475,felony
1476,conspiracy
1477,stealing
1478,defendant
1479,perpetrator
1480,prosecution
1481,kidnap
1482,trespass
1483,sentencing
1484,prostitution
1485,victim
1486,terrorize
1487,murderer
1488,atrocity
1489,informant
1490,abduction
1491,enforcement
1492,interrogation
1493,wrongdoing
1494,trafficking
1495,infraction
1496,suspect
1497,unforgivable
1498,warrant
1499,felon
1500,outlaw
1501,rapist
1502,vigilante
1503,scene
1504,alleged
1505,cruelty
1506,precinct
1507,exile
1508,arson
1509,assassin
1510,imprison
1511,shoplifting
1512,manslaughter
1513,notorious
1514,terrorist
1515,courtroom
1516,mugging
1517,cop
1518,jury
1519,robbery
1520,thief
1521,conspirator
1522,witness
1523,investigate
1524,disappearance
1525,fugitive
1526,ruthless
1527,criminally
1528,assassination
1529,commit
1530,slaughter
1531,commission
1532,imprisonment
1533,harassment
1534,burglar
1535,corruption
1536,eyewitness
1537,transgression
1538,cartel
1539,flee
1540,theft
1541,blackmail
1542,assault
1543,prisoner
1544,apprehend
1545,terrorism
1546,vandalism
1547,detective
1548,investigator
1549,culprit
1550,trial
1551,abduct
1552,massacre
1553,killer
1554,captive
1555,illegal
1556,attracted
1557,marvelous
1558,dreamy
1559,attract
1560,photogenic
1561,built
1562,fabulous
1563,adorable
1564,admire
1565,dimpled
1566,tempting
1567,stunning
1568,adore
1569,sexiest
1570,glamorous
1571,luscious
1572,captivating
1573,mesmerizing
1574,curvy
1575,dashing
1576,dazzle
1577,pleasing
1578,beauty
1579,feminine
1580,beautiful
1581,tanned
1582,blonde
1583,envious
1584,flawless
1585,sexy
1586,supermodel
1587,gorgeous
1588,charismatic
1589,chiseled
1590,classically
1591,attractively
1592,swoon
1593,fantastic
1594,dazzling
1595,beautifully
1596,athletic
1597,seductive
1598,inviting
1599,hunky
1600,enticing
1601,hunk
1602,buff
1603,fashionable
1604,cute
1605,charmer
1606,impress
1607,attractiveness
1608,coolest
1609,strikingly
1610,physique
1611,fascinating
1612,fantasize
1613,angelic
1614,attractive
1615,hot
1616,revealing
1617,pretty
1618,desirable
1619,charmingly
1620,hotter
1621,charming
1622,perfect
1623,masculine
1624,sassy
1625,lovely
1626,enchanting
1627,looking
1628,appealing
1629,alluring
1630,lovable
1631,compliment
1632,popular
1633,flatter
1634,breathtaking
1635,toned
1636,provocative
1637,stylish
1638,appeal
1639,irresistible
1640,breathtakingly
1641,handsome
1642,cocky
1643,guy
1644,manly
1645,dude
1646,man
1647,lad
1648,authority
1649,bodied
1650,dreamy
1651,hunky
1652,hunk
1653,testosterone
1654,charisma
1655,masculine
1656,attract
1657,muscular
1658,surfer
1659,fella
1660,arrogance
1661,figure
1662,hormone
1663,boy
1664,boys
1665,scruffy
1666,domineering
1667,males
1668,intimidating
1669,attractiveness
1670,dominate
1671,alluring
1672,brutish
1673,athletically
1674,cockiness
1675,rowdy
1676,biceps
1677,physique
1678,overpowering
1679,mentality
1680,chiseled
1681,brawny
1682,burly
1683,masculinity
1684,attractively
1685,hormonal
1686,puberty
1687,tattooed
1688,appeal
1689,male
1690,youthful
1691,rugged
1692,intimidate
1693,shouldered
1694,baritone
1695,stereotypical
1696,strong
1697,distinct
1698,stature
1699,beefy
1700,stocky
1701,aggressive
1702,athletic
1703,egotistical
1704,jock
1705,bulky
1706,handsome
1707,hostage
1708,confine
1709,containment
1710,policeman
1711,confiscate
1712,prison
1713,cell
1714,executioner
1715,capture
1716,execution
1717,compound
1718,charge
1719,arrest
1720,jailhouse
1721,security
1722,ambush
1723,locked
1724,ward
1725,restrain
1726,inmate
1727,blockade
1728,barricade
1729,platoon
1730,officer
1731,jail
1732,secure
1733,patrol
1734,guards
1735,underground
1736,burglary
1737,escort
1738,gate
1739,vault
1740,authorities
1741,bail
1742,citadel
1743,cuffed
1744,warden
1745,criminal
1746,escape
1747,trooper
1748,guard
1749,perimeter
1750,torture
1751,convict
1752,kill
1753,surveillance
1754,facility
1755,gatekeeper
1756,correctional
1757,patrolling
1758,secured
1759,confinement
1760,escaped
1761,sentencing
1762,sentry
1763,chamber
1764,penitentiary
1765,occupant
1766,shootout
1767,murderer
1768,informant
1769,interrogation
1770,cage
1771,chain
1772,walled
1773,outpost
1774,imprison
1775,manslaughter
1776,cop
1777,captivity
1778,investigate
1779,imprisonment
1780,lock
1781,prisoner
1782,apprehend
1783,vandalism
1784,dungeon
1785,enforcer
1786,overseer
1787,abduct
1788,trial
1789,captive
1790,vaccine
1791,tumor
1792,chronic
1793,severe
1794,diabetic
1795,relievers
1796,flu
1797,liver
1798,depressant
1799,dosage
1800,dehydrated
1801,glucose
1802,pharmacy
1803,remission
1804,diet
1805,schizophrenia
1806,cure
1807,injures
1808,antidote
1809,miscarriage
1810,psychosis
1811,antibiotic
1812,aspirin
1813,painkiller
1814,biopsy
1815,ulcer
1816,neurologist
1817,anorexia
1818,prescription
1819,psychological
1820,schizophrenic
1821,pill
1822,diagnosis
1823,abortion
1824,sickness
1825,vitamin
1826,gynecologist
1827,illness
1828,trimester
1829,pills
1830,depression
1831,insulin
1832,pneumonia
1833,asthma
1834,physician
1835,mental
1836,anesthesia
1837,cramp
1838,therapist
1839,influenza
1840,psychiatrist
1841,condition
1842,hospital
1843,prenatal
1844,recuperate
1845,epilepsy
1846,appointment
1847,prescribed
1848,malnutrition
1849,medical
1850,patient
1851,dehydration
1852,nutrient
1853,dementia
1854,stress
1855,doctor
1856,health
1857,autism
1858,disorder
1859,unwell
1860,prescribe
1861,psychologist
1862,disease
1863,suffer
1864,vaccination
1865,dental
1866,migraine
1867,injury
1868,chemotherapy
1869,kidney
1870,behavioral
1871,heartburn
1872,rehabilitation
1873,nursing
1874,ultrasound
1875,symptom
1876,incurable
1877,checkup
1878,infertile
1879,nurse
1880,pregnancy
1881,institution
1882,surgeon
1883,sufferer
1884,poisoning
1885,vomiting
1886,clinic
1887,therapy
1888,pancreatic
1889,arthritis
1890,respiratory
1891,deficiency
1892,medication
1893,anemia
1894,sedate
1895,complication
1896,injection
1897,diabetes
1898,seizure
1899,nutrition
1900,cancer
1901,healthy
1902,traumatic
1903,leukemia
1904,testing
1905,fever
1906,immune
1907,recovery
1908,trauma
1909,medically
1910,anxiety
1911,transfusion
1912,antidepressant
1913,infection
1914,relapse
1915,diagnose
1916,anemic
1917,cancerous
1918,tuberculosis
1919,ailment
1920,specialist
1921,concussion
1922,bulimia
1923,psychiatric
1924,surgery
1925,vet
1926,diarrhea
1927,syndrome
1928,supplement
1929,maternity
1930,pediatrician
1931,rehab
1932,coma
1933,bedridden
1934,transplant
1935,med
1936,discharge
1937,sick
1938,medicine
1939,epidemic
1940,remedy
1941,treatment
1942,allergy
1943,malaria
1944,examination
1945,disability
1946,pharmacist
1947,praise
1948,glorious
1949,leadership
1950,determination
1951,joyous
1952,confidence
1953,victorious
1954,righteousness
1955,exuberant
1956,reverence
1957,admiration
1958,applaud
1959,honor
1960,pride
1961,determined
1962,unbeatable
1963,glory
1964,heroic
1965,gleefully
1966,joyful
1967,achievement
1968,supremacy
1969,proudly
1970,recognition
1971,gloat
1972,happiness
1973,accomplishment
1974,proclaim
1975,proud
1976,ambition
1977,satisfaction
1978,dignity
1979,succeed
1980,joy
1981,contentment
1982,conviction
1983,triumph
1984,overshadow
1985,success
1986,jubilant
1987,mighty
1988,boldly
1989,integrity
1990,truthfulness
1991,curiosity
1992,elation
1993,victory
1994,overcome
1995,smug
1996,resilience
1997,reign
1998,fortitude
1999,triumphant
2000,heroism
2001,rivalry
2002,argument
2003,bickering
2004,feud
2005,involve
2006,civil
2007,disagree
2008,controversial
2009,bloodshed
2010,insist
2011,altercation
2012,dispute
2013,mandate
2014,disregard
2015,opposition
2016,conflict
2017,talk
2018,squabble
2019,testify
2020,complaint
2021,accuse
2022,disagreement
2023,objection
2024,fact
2025,meddle
2026,grudge
2027,oppose
2028,petty
2029,judgment
2030,quarrel
2031,custody
2032,declaration
2033,reasoning
2034,petition
2035,ridicule
2036,reprimand
2037,confrontation
2038,argue
2039,interfere
2040,adjourn
2041,debate
2042,adamant
2043,contradict
2044,arguing
2045,law
2046,offense
2047,refute
2048,politics
2049,discussion
2050,accusation
2051,prosecution
2052,mutiny
2053,resent
2054,abolish
2055,negotiation
2056,adamantly
2057,sanction
2058,policy
2059,discuss
2060,refusal
2061,blame
2062,defend
2063,infraction
2064,suspect
2065,fight
2066,complaining
2067,complain
2068,court
2069,bicker
2070,explain
2071,shoplifting
2072,courtroom
2073,jury
2074,verdict
2075,complains
2076,protest
2077,controversy
2078,refuse
2079,negotiate
2080,prove
2081,issue
2082,decision
2083,fistfight
2084,misunderstanding
2085,trial
2086,confront
2087,reconcile
2088,scapegoat
2089,convince
2090,regret
2091,paranoia
2092,anticipation
2093,worried
2094,emotion
2095,nervous
2096,breakdown
2097,irritation
2098,unhappiness
2099,worrying
2100,scared
2101,anguish
2102,anxiety
2103,tremble
2104,uneasiness
2105,tremor
2106,feel
2107,trepidation
2108,feeling
2109,uneasy
2110,dread
2111,sorrow
2112,agitation
2113,stressful
2114,unsettle
2115,impatience
2116,apprehensive
2117,discomfort
2118,unease
2119,fright
2120,worry
2121,jittery
2122,nervousness
2123,urgency
2124,afraid
2125,insecurity
2126,suspense
2127,panic
2128,overwhelm
2129,terror
2130,fear
2131,paranoid
2132,anxious
2133,unsettling
2134,uncertainty
2135,apprehension
2136,panicky
2137,embarrassment
2138,desperation
2139,stress
2140,jumpy
2141,weariness
2142,curiosity
2143,vulnerability
2144,worrisome
2145,confusion
2146,guilt
2147,sector
2148,conservation
