,speaker,utterance
68,A,"I, I don't feel comfortable about leaving my kids in a big day care center, but, simply because there's so many kids and so many"
69,B,Worried that they're not going to get enough attention?
70,A,"Yeah,"
71,A,"and, uh, you know, colds and things like that get spread real easy and things,"
72,B,Yeah.
73,A,"but, and they're expensive"
74,A,"and, course, there's a lot of different types of day care available, too, you know, where they teach them academic things."
75,B,Yes.
76,A,"Or they just watch them and let them play and things like that,"
77,A,"but,"
78,A,take a long time to find the right place
79,B,"Yeah,"
80,B,"and you, and you don't always even know if it's, it's going to be the right place or not."
81,A,Uh-huh.
82,B,"Anything, I guess, could happen."
83,A,Uh-huh.
84,B,"Because after, I guess after he, you know, gets to a certain age she's going to have to take him to a day care."
85,A,"Uh-huh,"
86,A,when he starts toddling around and stuff.
87,B,Yeah.
88,A,Yeah.
89,B,"When, when he's not, when she can't keep control of him"
90,B,and he starts crawling
91,B,"that's,"
92,A,Uh-huh.
93,A,"It would be hard,"
94,A,I think it would be kind of stressful.
95,A,It would be nice to have him around
96,B,Uh-huh.
97,A,"but, uh, seems like, you know,"
98,A,what if he cried at the wrong time
99,A,"or the phone rang or, you know, at the wrong time"
100,B,Yeah.
101,A,"But,"
102,B,"I think she has problems with that, too."
103,A,Uh-huh.
104,A,"Well, when you have kids, will you work?"
105,A,Do you work now?
106,B,I don't know
107,B,"that's something I've considered. Uh,"
108,A,Uh-huh.
109,B,I always kind of think it would be neat to be able to watch them and be there for them all the time.
110,A,Uh-huh.
111,B,Is that what you do?
112,A,"Uh, yeah."
113,A,"Actually, I teach my kids at home,"
114,A,so I'm here all the time.
115,B,"Oh, so they don't go to school."
116,B,"Is it like, uh,"
117,B,"oh, what's that called,"
118,B,"it's, uh, correspondence school,"
119,B,they do it at home.
120,A,Uh-huh.
121,A,"Yeah,"
122,A,yeah.
123,B,That's interesting.
124,A,"So,"
125,B,Do you have to have any special training?
126,A,"Not,"
127,A,it depends on the state you live actually.
128,A,Some laws absolutely prohibit it.
129,A,"Some states, uh, say that you have to be a certified teacher in order to do that."
130,A,"Our state doesn't yet, say that"
131,A,and I'm not a certified teacher.
132,A,"I went to college,"
133,A,"but I, you know, but my kids are only elementary grades, levels right now"
134,A,"and so,"
135,B,So they haven't been to public schools at all.
136,A,One of them was for a couple of years
137,A,"and so, you know, my oldest, he was,"
138,A,and then my youngest two have never been.
139,B,Um.
140,A,"So anyway,"
141,A,"but we don't,"
142,B,"So, you've never had,"
143,A,"Well, uh, does the company you work for test for drugs?"
144,B,"Actually, uh, they just recently started a policy of testing drugs, which was kind of interesting,"
145,B,"because when I went to work for them, uh, they didn't do that,"
146,B,"but, uh, since then they've, they've started a drug testing policy, not because of their own, uh, convictions, but because the clients of our company are requests that we do that."
147,A,Huh.
148,B,How about you?
149,A,"Uh, no,"
150,A,"we're not being tested for drugs at all, uh,"
151,A,"our policies and procedures manual, uh, the furthest it goes about drugs is in the, kind of the miscellaneous section, or it's reasons for immediate dismissal,"
152,B,Uh-huh.
153,A,"it says, use of narcotics on company premises."
154,B,Um.
155,A,"So that's pretty general,"
156,A,"but, uh, I work for an environmental management firm"
157,B,Okay.
158,A,"and I'm an engineer there,"
159,A,"but I do go on a lot of hazardous waste sites,"
160,A,but I don't operate any machinery.
161,B,Yeah.
162,A,"Now, people for our company that do operate machinery like drill rigs and things like that are under a, a medical monitoring program,"
163,B,Uh-huh.
164,A,because they're at a higher risk of exposure
165,A,and blood screening is part of that
166,A,"and I, I think that drugs,"
167,A,"they do test for drugs in that capacity,"
168,A,"but it's not their exclusive,"
169,A,"it's just part, it's just something that turns up in the other parameters that they test for."
170,B,Yeah.
171,A,But I think it's got a little more relevance since they are around dangerous equipment and things like that and do have to exercise some quick judgment in the field.
172,A,What is the nature of your company's business?
173,B,"Well, it's actually, uh,"
174,B,we do oil well services.
175,B,"So, a lot of our clients are oil companies, big oil companies,"
176,B,"and they go out to,"
177,B,"we have engineers who, uh, go out to the oil well, to the, to the client's oil well, and, and work with a lot of heavy equipment and put tools down the oil well and stuff,"
178,B,"so the clients are very concerned that, you know, the engineers who go out there are adhering to their drug policy, because they're on their, their, you know, territory and everything,"
179,B,"but the thing that's interesting is that I I'm an engineer and, a software engineer"
180,A,Um.
181,B,"and I work in the software, uh, house,"
182,B,"and everybody there, you know, are all software engineers."
183,B,"They've never, you know, they never go out to the, the oil rigs or anything,"
184,B,"and yet, we're getting, we're subjected to this policy, you know, the same one that, uh, all the engineers have to, to,"
185,B,"well, a little different, actually,"
186,B,"but, uh, you know, we have to go through the same thing,"
187,B,"and it's, but it's, uh, it's a little different, I guess than than a lot of drug policies."
188,B,"In our case, it's like, when you hire on, they'll test you,"
189,B,"and then if you get injured on the job, if you like trip and fall or something, uh, they give you a drug test right away."
190,A,"Oh, really?"
191,B,"Other than that they don't have random testing or anything like that,"
192,B,"but, a lot of people were really upset with the policy at first."
193,B,"Particularly, like uh, we have a lot of parties and stuff where they serve alcohol,"
194,B,"and they didn't find any problem with that, you know,"
195,B,"but,"
196,A,Right.
197,B,"Uh,"
198,A,"We, that's been an, a, an issue, uh, in our company even though we don't have the random or even regular drug screening."
199,A,"they'll have these little parties,"
200,A,"and people will just get,"
201,A,"I mean, I've,"
202,A,"my brother lives where I work,"
203,A,"and I have many a time called him to come get me, you know."
204,A,"And, uh, uh, but, you know, they don't think twice about serving beer by the keg. You know,"
205,B,Yeah
206,A,"but, uh, I think drug testing,"
207,A,"and I, I don't know,"
208,A,"I guess I I think it's got some relevance,"
209,A,but I think its relevance is pretty limited.
210,A,"I mean, I think, you know,"
211,A,"in your case, I don't think that you should necessarily be subjected to drug testing."
212,B,Yeah.
213,A,I think that's an interesting policy your company has about testing immediately after an on the job accident.
214,B,"Yeah,"
215,B,"it's really, it's really bizarre."
216,B,"Uh, particularly, like where we are, you know."
217,B,"I, I,"
218,B,"there was a story of a woman last year who, who actually did slip on the ice and, and like sprained her ankle"
219,B,"and she, she was a personnel secretary"
220,B,and she had to get tested
221,B,"and, I don't know"
222,B,I'm ambivalent about the whole thing.
223,B,"I, you know, I have a lot of mixed feelings about on the one hand, it's like if, you know,"
224,B,"they're, they should be able to make it as a continue of employment in some sense"
225,B,"and, you know, it's like you're, I mean, employments are contractual by nature anyway"
226,A,Uh-huh.
227,B,"but, uh, I had an experience when I was interviewing for a job that, where I had to, uh, uh, do a drug test"
228,B,"and, and it's, it was kind of a long story,"
229,B,"but it was, it was just an incredibly humiliating experience what I went through,"
230,B,"and it amounted to, uh, going in, uh, before any of these interviews,"
231,B,"I'm not even working for this company,"
232,B,"I'm going in for, like, interviews"
233,B,and they flew me out to Chicago
234,B,"and, and, uh, before I went into any of the interviews, uh, they took me to the doctor to give me a physical."
235,B,"They said it was going to be a physical, you know,"
236,B,"and, uh, actually beforehand they told me they were going to, uh, do drug screening,"
237,B,"but I had forgotten about that,"
238,B,"and so, basically, I'd already peed off that morning"
239,B,"and, and when I got in there, I didn't, I wasn't, like, able to give a full sample,"
240,B,"and so they made me sit and wait for forty-five minutes, drink a whole ton of water before I went to any of the interviews and go in there again,"
241,A,Oh.
242,A,Right.
243,B,"and the, and the, the procedure is utterly humiliating."
244,B,"You go in there with the doctor,"
245,B,he makes you take off all your clothes
246,B,and then he examines you.
247,A,"Uh, the question was kind of interesting to me because I was just trying to put together a, uh, long term financial plan and monthly budget."
248,A,"The only thing I do now is, uh, put the data into Quicken."
249,A,I don't know if you are familiar with that.
250,B,"Yeah,"
251,B,I have some friends of mine who use Quicken
252,B,"and, uh, I've considered using it once myself,"
253,B,but I decided that the amount of information that would have to go in would be a lot of time keeping that up to date.
254,A,Uh-huh.
255,B,"So I, I kind of gave up on the idea of using Quicken, at least for now."
256,A,"Um. I've found it's the only reliable way to keep a check book balanced actually because what will happen is my wife will write a few checks and then, well, uh, uh, not bother to total it"
257,B,Uh-huh.
258,A,and then it comes in to doing all the arithmetic.
259,A,So it really helps with that.
260,B,"Yeah,"
261,B,"well, it's similar problems"
262,B,"but, uh, we just have the one check book"
263,B,and we try to keep it up to date as much as possible
264,B,and occasionally we will get behind like you say
265,B,"but, uh, it doesn't really seem to be too, too tight if we just remember to keep everything up, up to date and balanced."
266,A,Uh-huh.
267,B,"Well, how to you handle that, the long range or medium range planning on finances?"
268,A,"Well, actually we haven't had to. Uh, until just recently."
269,A,"I guess we've got a, a daughter who is eighteen months and another one on the way"
270,A,"so we needed to start doing more of that just for, uh, you know, saving for college and things like that."
271,B,Uh-huh.
272,A,"We tried a way, try to put away two and four thousand a year just for that."
273,B,Yeah.
274,B,Well that's pretty good if you can do that.
275,B,I know.
276,B,I have a daughter who's ten
277,B,and we haven't really put much away for her college up to this point
278,B,"but, uh, we're to the point now where our financial income is enough that we can consider putting some away for college,"
279,A,Uh-huh.
280,B,so we are going to be starting a regular payroll deduction in the fall
281,A,Um.
282,B,and then the money that I will be making this summer we'll be putting away for the college fund.
283,A,Um. Sounds good.
284,A,"Yeah,"
285,A,"I guess we're, we're just at the point, uh,"
286,A,my wife worked until we had a family
287,A,"and then, you know, now we're just going on the one income"
288,A,"so it's a lot more interesting trying to, uh,"
289,B,Uh-huh.
290,A,"find some extra payroll deductions is probably the only way we will be able to, uh, do it."
291,A,"You know, kind of enforce the savings."
292,B,Uh-huh.
293,A,"But, uh, it will be interesting to see"
294,B,"Well our situation is just a little bit, kind of the opposite of that cause my wife was not working for some time and was going to school and just recently, uh, took on a full time job, well almost full time."
295,A,Um.
296,B,"So, it's only recently that we've had the money where we could start putting away large sums of it for, uh, long range goals like college and sickness and travel and that kind of thing."
297,A,Um.
298,A,That sounds good.
299,A,"But, uh, uh, I was just curious, what, uh, part of the country."
300,B,"Oh, Stockton."
301,A,"Oh, okay."
302,B,How about you?
303,A,"Uh, Cincinnati, actually."
304,A,"I was kind of wondering if they would be collecting people with, uh, the western accents or something like that."
305,A,"I don't know how many people are, uh, getting involved in this"
306,A,"but uh, well that's interesting."
307,B,Uh-huh.
308,A,"I'm, uh, uh, actually, uh, I was kind of interested if you found out about the study by, uh, reading TELECOM DIGEST"
309,A,or was there another?
310,B,"Uh, a colleague of mine at, uh, work got some information over, uh, the computer network called INTERNET."
311,A,"Oh, okay."
312,A,"Yeah,"
313,A,that is how I got it as well
314,A,"but, uh,"
315,B,And he just forwarded that on to me
316,B,"and, uh, it sounded like it would be an interesting project to participate in"
317,A,Uh-huh.
318,B,so I sent back mail.
319,A,"Yeah,"
320,A,"it will be interesting to see what, It would be interesting to see how the data base,"
321,A,"so, well, I guess we're talking about the experiment."
322,B,Uh-huh.
323,A,"Uh, probably need to try to get back on the topic"
324,A,"but, uh, it's hard to talk about finances without without getting to, uh, dollar figures I guess you know,"
325,B,Uh-huh.
326,A,we could talk about some of the long range goals
327,A,"and,"
328,B,Well what other long range goals do you have besides college?
329,A,"Uh, well I think, either my wife or I would like to pursue advanced degrees at some point"
330,B,Uh-huh.
331,A,"uh, I guess we will have to factor that in if we are not working for employers that happen to fund that."
332,A,"It seems like every year my employer just gives back, you know, a little bit your tuition reimbursement."
333,B,Uh-huh.
334,A,I mean they use to reimburse one hundred percent
335,A,"and now it's, uh, now it's reimbursement depending on the grade you get in class"
336,A,"and, uh, it's a real shame from what we had before, uh, because we're,"
337,A,"Right,"
338,A,"uh, actually I lived over in Europe for a couple of years,"
339,A,I lived in Germany
340,A,and in Germany they don't have the jury system.
341,A,"What they do is they have, uh, three judges, basically."
342,A,And you get up there
343,A,and the prosecuting attorney presents his evidence
344,A,and your defense attorney presents their evidence
345,A,"and those three guys take the evidence, go off, figure it out and then come back and say whether you're guilty or not."
346,B,our judicial system is in such total chaos.
347,B,"I think what they need to do is, they need to somehow take the money out of it."
348,B,"I mean, when you have a man that's signed a, a, a statement saying he's guilty,"
349,B,"we have a, a family called All day family."
350,B,They were all murdered.
351,A,Uh-huh.
352,B,"All the people signed confessions,"
353,B,they went to a trial by jury.
354,B,"They been trying these people now for twenty-two years, ever since I was a child."
355,A,Wow.
356,B,"And what they've done is they've bought Mercedes after Mercedes after Mercedes is what they've done,"
357,B,has nothing to do with justice whatsoever.
358,A,"Well, you know, it's, it's one of those things,"
359,A,"I mean, uh, uh, I would have to look at it."
360,A,"if they did it with the, uh, just the judges, the police have to do a lot better job of making sure that their evidence is airtight"
361,A,"because the judges sitting in that kind of stuff day after day, they know all the procedures,"
362,A,"they know what's good and what isn't,"
363,A,"they'd be able to say, I'm sorry,"
364,A,"you can't use this as, uh, evidence, you know, because it was either illegally obtained or whatever"
365,A,"and, you know, you wouldn't have this, uh, uh, theatrics where the lawyer jumps up and presents it to the, to the jury"
366,A,"and then the judge says, oh, no,"
367,A,disregard that.
368,A,"Come on,"
369,A,"any jury's not going to disregard the evidence, you know"
370,B,"Uh, that's true."
371,B,"I, I, I think our judicial system is attorney welfare myself."
372,A,That may very well be.
373,B,"I, I hold it in the utmost contempt."
374,A,"Uh,"
375,B,"The, uh, my favorite is the police department,"
376,B,they're not aimed at the criminal.
377,B,The judicial system is aimed at the citizens
378,B,"because you and I, we have work schedules,"
379,B,"we can be called at work,"
380,B,"we have Social Security numbers,"
381,B,"they can trace us down,"
382,B,"we have telephones,"
383,B,then we have checkbooks.
384,B,Criminals have none of these things.
385,B,"They're real difficult to catch,"
386,B,"and if they do catch them, they don't get any monetary gain out of it, whereas us, we write a check."
387,A,Yeah.
388,B,So where do you think they target their efforts?
389,A,That's true.
390,B,They target their efforts toward the citizens not the criminals.
391,A,"Well, How would you go about changing it?"
392,B,"You know, that's a,"
393,B,I've nailed the problem down
394,B,"but I,"
395,A,"Leave the details up to somebody else, huh."
396,B,"Yeah,"
397,B,"I'm going to have to leave those details like, what would you do about,"
398,B,"I think, to begin with, you would you would have,"
399,B,"like, here in Atlanta area, our crime rate is just astronomical,"
400,B,"yet, you go out on the streets"
401,B,and they're giving speeding tickets.
402,A,Yeah.
403,B,"I think somehow you have to separate the revenues from,"
404,A,"Well, you know, uh, talking about the lawyers, you know what might very well do, uh, cause a, uh, a drop in the number of lawyers and things like that, is to set the fees for cases."
405,A,"It's kind of like do it, do it in the similar vein similar, like, uh, V C R or television repair."
406,A,"If you take your T V in, a lot of these T V repair places will say, well, I'll repair your T V for a hundred dollars,"
407,A,"and if he gets in there and starts rooting around and finds something in there that's really tremendously wrong with it, then he eats it."
408,A,"He, he repairs it, gives it back to you, and takes your hundred dollars."
409,A,"Now, if he comes in and says, you know, I'll repair your, your V C R, or somebody else's V C R, for a hundred dollars, gets in there,"
410,A,"maybe it's a blown fuse,"
411,A,"takes him two minutes,"
412,A,"he fixes it,"
413,A,he still charges you that hundred dollars.
414,A,"So, maybe if we did that with the lawyers, so that, you know, whether it's a murder case or a, you know, a civil, uh, somebody suing somebody else, you get X dollars for that case"
415,A,and that's it.
416,B,"Now, I firmly believe in that"
417,A,"None of this,"
418,B,"because when you get the most heinous of crimes, have you ever noticed you always get the most renowned defense attorney?"
419,A,"Oh, yeah."
420,B,And here's this bum that didn't have a job
421,A,Yeah.
422,B,and he's got a attorney that you and I could never afford.
423,A,That's true.
424,B,Who's paying for that?
425,A,Yeah.
426,A,"Um, well, you, you know, you're talking to part of them that's paying for that"
427,B,"Yeah,"
428,B,and you're talking to the other half that's paying for it
429,A,That's right.
430,A,"You know that's, it, it's, it's amazing"
431,A,"and, and when you stop and look at it, I mean, the judges, they're all former lawyers."
432,B,"Yeah,"
433,B,"well, that's another problem."
434,B,"I think to really correct the judicial system, you have to get the lawyers out of it"
435,B,"I mean, they're, they're totally and morally bankrupt without any ethics whatsoever,"
436,B,"and with that type person running it, I mean, you, you could expect that you,"
437,A,"Do you know anyone that, uh, is, is in a nursing home or has ever been in one?"
438,B,No.
439,B,"But I, my grandparents were looking into it before"
440,B,so I know what they've said.
441,A,Uh-huh.
442,B,Uh-huh.
443,A,"Well, I'm trying to think."
444,A,"My, uh, uh, wife's grandmother had Alzheimer's"
445,A,"and they were going to put her into a, a nursing home"
446,A,"and, uh, they, when they put her in, she had all kinds of trouble"
447,A,"and the nursing home made them come and take her back because she was being a, a, you know, a, a nuisance. Or worse than a nuisance,"
448,A,"I mean  she sort of went, you know, bananas"
449,B,they thought it was too much of a bother.
450,A,"and they couldn't, couldn't deal with her"
451,A,"So, I guess you need to, uh, know whether it's a, you know, a no deposit, no return kind of thing whether"
452,B,Right.
453,B,"If they're equipped too, to handle the kind of patients you're going to have you know, put in there too."
454,A,Yeah.
455,B,Because I know my grandparents wanted to have some independence still.
456,A,Right.
457,B,They wanted some place they can go and have their meals and a nurse on staff just in case they needed her
458,B,but they wanted to be independent as well. Have their own room.
459,A,Right.
460,A,"My grandmother actually was in a, a nursing home that, uh,"
461,A,"there was a retirement hotel and then a, uh,"
462,A,there was some sort of full-time care place that was also associated with it
463,A,"so for, uh, the first few years she had her own apartment and, you know, made her own meals sometimes. But could, could also go and eat someplace else."
464,B,Uh-huh.
465,A,"And then, uh, as she became less able to take care of herself, then she moved into this other part that was able to, uh, provide full-time care"
466,A,"and, uh, she didn't have to do anything anymore."
467,A,But my experience has been that most people that move into nursing homes die very quickly.
468,A,And that's
469,A,"I don't know whether that's because they, you know, sort of give up hope once they get in there or what the, the reason is."
470,A,But I think the average length of time that somebody lives in a nursing home is only like six months or something.
471,B,Well a lot of it's probably to do with the fact that people go to it because they need help.
472,A,Yeah.
473,B,They need health care
474,B,so they're already ill before they go.
475,A,Right.
476,B,That's probably a large factor.
477,A,Yeah.
478,A,"If, if you can take care of yourself at all or have someone that can take care of you, then you stay where you are."
479,A,Then you only go there as a last resort.
480,B,Uh-huh.
481,A,Or people send you there as a last resort.
482,B,"Right,"
483,B,right.
484,B,"That's what my grandparents,"
485,B,"it was just so that the rest of the relatives would have peace of mind knowing that if anything happened, there was somebody there for them."
486,A,Uh-huh.
487,B,So that was their thinking.
488,B,Somebody who would know what to do in the event of an emergency.
489,A,Right.
490,B,And also so they could find someplace that they enjoyed while they still had choices to make. So they wouldn't be stuck going into just whatever nursing home was available at the time.
491,A,Right.
492,B,I guess that's a problem too for people. Wait lists and all.
493,A,"Yeah,"
494,A,I guess.
495,B,"That, uh,"
496,B,you can't always get in when you want too
497,B,"and of course, you can't just sit around and wait."
498,A,Right.
499,A,"When you need it, you need it  I guess."
500,B,Yeah.
501,B,And the money is also another issue. How you're going to pay for it.
502,A,Right.
503,B,At that stage of life you only have so much money left
504,B,and I guess it's not exactly fair for the younger family members to have to put it in their savings.
505,A,Yeah.
506,B,"I mean it is kind of fair,"
507,B,but it's also not fair because they have their own children to raise.
508,A,Sure.
509,B,So it's another problem.
510,A,"And you probably, if it were you, you probably wouldn't want someone choosing a place for you to live based on lowest price."
511,B,"Right,"
512,B,right.
513,B,"So, it, it's just so complicated anymore, I think"
514,B,People outlive their savings.
515,B,"And, with medicine being the way it is, you're extending life where sometimes the quality of living has gone down"
516,B,and they're not necessarily enjoying life anymore.
517,A,Yeah.
518,A,Well maybe that's the purpose of the nursing home is to have them go someplace where they can see that it's not worth continuing.
519,B,It's just a shame that's the way it has to be.
520,B,I think  the retirement home idea's a nice idea. To go and find older people and with similar interests and someplace to stay
521,A,Yeah.
522,B,"and cause like if your spouse died, all alone, it'd be nice to go someplace with people similar to you. To have friends."
523,A,Right.
524,A,"Yeah,"
525,A,"I've known quite a few people that have, uh, gone to retirement communities."
526,A,I don't know if they have them back there
527,A,but here in California and in
528,B,Okay.
529,A,"Uh, so, what do you think, uh, about putting the elderly in a nursing home?"
530,B,"Well, I think that it, it varies on on the individual basis."
531,A,Huh.
532,B,"Uh, sometimes it is, there is no alternative."
533,A,Uh-huh
534,B,"Uh, you do not have, uh, uh, family available or family that's, uh,"
535,B,"you may not even have family that is, uh, uh, in, you know, who are around."
536,A,That's true.
537,A,Yeah.
538,B,"So, sometimes it's not an alternative."
539,A,Huh
540,B,"And I think, uh, but I think also, sometimes it can be, uh, a benefit if it's for a short time."
541,B,Sometimes in a nursing home
542,A,Uh-huh.
543,B,"uh, especially if, if it's after an acute illness."
544,B,"To get over a,"
545,B,"or to rehab after, uh, an illness."
546,A,That's true.
547,A,I never thought of that.
548,A,Yeah.
549,B,"Sometimes you know, sometimes the nursing homes are good for, uh, just short periods of time."
550,A,"That's true,"
551,A,until they get over that hump of whatever it is they're dealing with.
552,B,Uh-huh.
553,B,"Because too often the acute hospitals will, are sending them out much faster than what they're really able to."
554,A,Yes.
555,A,They really are.
556,A,They don't like to keep them longer than a week.
557,B,So so there is some good to it.
558,A,Yeah.
559,B,"Uh, sometimes too, it's used as a dumb job."
560,B,"You know the well the families do not necessarily uh, know what to do with them"
561,A,What do you mean?
562,B,and they don't want to take the responsibility
563,B,so they will put them in a nursing home.
564,A,"Yeah,"
565,A,that's true.
566,B,"So you see, uh,"
567,B,there's both sides to it too.
568,B,What do you think?
569,A,Yeah
570,A,"and it depends on how, how sick the person is too. What you're capable of, like if you have a family to take care of, you know, of your own"
571,B,Yeah.
572,A,"Yeah,"
573,A,"uh, I would personally like it"
574,A,"if my parents were to get ill, I would like to take care of them at home and if I had the money with some help."
575,A,That's not always possible.
576,B,That's true.
577,A,"But, uh, to the best of my ability, I'd like to do it until it gets impossible"
578,B,"I think that's also where you're going to have a lot of people who are going to,"
579,B,"it's there's not a choice, it's  because, it's not economically feasible even to  put them in a nursing home."
580,A,Right.
581,A,Uh-huh
582,A,Yeah.
583,B,"So that, that option sometimes is not available if they do not have the, uh, either Medicare or insurance to cover it."
584,A,That's true.
585,A,Yeah.
586,B,"So,"
587,A,But I think nursing homes can be good.
588,A,It just depends on what kind they are.
589,A,"You know, you need to check them out ahead of time."
590,B,"Yeah,"
591,B,and then there's also some that are set up for specialties
592,A,Uh-huh.
593,B,"uh, I know some."
594,B,"Unfortunately, some elderly have to go to or have, I guess it's Alzheimer's or where  they wonder or, or, uh, confused or have some mental problem"
595,A,Uh-huh.
596,A,"Yeah,"
597,A,that they're
598,B,And you need a special nursing home for that.
599,B,You need one that has a unit that's locked where they are not able to get out and roam around
600,A,Yeah.
601,B,and you need people who are trained for that type  of problem.
602,A,Right.
603,A,Who know what they're doing with that.
604,B,Yeah
605,B,"so, so there's different types of nursing homes I think."
606,A,Yeah
607,A,"well, my, uh, grandmother's not really in a nursing home, but a retirement home that also has a nursing home sort of attached to it."
608,A,"And she really liked the idea of, of moving there."
609,A,She's not ill yet
610,B,Uh-huh.
611,A,"but, uh, she worked there as a volunteer for about ten years"
612,A,"and then she decided that, uh, she's eighty five years old, that eventually, you know, she she doesn't want her family taking care of her and being a burden."
613,A,She's very independent.
614,A,So she's in this nursing home.
615,A,It's out in the country
616,A,"and, uh, she really enjoys it right now because she doesn't have to wash dishes or cook"
617,B,Gives her a little bit of her own independence
618,A,Uh-huh.
619,B,"but she still has, uh, a security there."
620,A,Right.
621,A,Some support.
622,A,"And then there's also, uh, sort of a wing for those people that do get sick"
623,A,"and, what I like about it and I think she likes about it is that she knows everybody there now"
624,A,"and then, so if she ever does become ill, uh, it will be like family around her."
625,B,That's right
626,B,and I  I've seen some of them like that too
627,A,Yeah.
628,B,"and also they have a lot of, uh, activities going on for the ones  who are more active."
629,A,Uh-huh
630,A,Yeah.
631,B,"So it's not sort of like, uh, uh  a sick place."
632,A,Uh-huh
633,A,"No,"
634,A,she loves it.
635,A,She has a great social life
636,A,and she travels
637,A,"and, uh, it's in, in the in the mountains"
638,A,and it's beautiful
639,A,"and, uh, I, I hope that I have something like that when I get older"
640,B,Yeah
641,B,"I, I think, I think the, uh I think that the decision that needs to be made though on nursing home has to be a joint one between the, uh, elderly uh, person who's going in and the family that's going to be, uh, effected by it"
642,A,Uh-huh
643,A,Uh-huh.
644,A,"Oh definitely it's,"
645,B,"and, uh, you know, sometimes it can, those those choices can be made in advance"
646,B,"and sometimes  the choices because of the nature of the illness when they're,"
647,A,Right.
648,A,"So, uh, do you happen to be working for a large firm?"
649,B,"Well, it's about three hundred and fifty people."
650,B,"I guess that's not large compared to some,"
651,B,but it's big enough.
652,A,Uh-huh.
653,B,"And they have a, they don't have any kind of pension plan where they contribute anything"
654,B,and I wish they did.
655,A,Yeah.
656,B,"You know, they have a four O one K,"
657,B,but I put all the money into it.
658,A,Uh-huh.
659,B,They don't add anything.
660,B,What about you?
661,A,"Uh, I work for a fairly large company."
662,A,It's got eight thousand people.
663,B,Uh-huh.
664,A,"And, uh, we do have health insurance."
665,A,"We don't have four O one K plan, stuff like that,"
666,A,"but we do have, like, retirement."
667,A,"They kind of match up to, you,"
668,A,"if you put six percent, they match up to six percent,"
669,A,and then the rest is whatever you want to put in. If you put more than that or something like that.
670,B,"Oh, that's a pretty good deal."
671,A,It's not bad.
672,B,"Now, how long does it take for your contribution to vest?"
673,A,"God, I don't know."
674,A,It's probably a long time
675,A,"I'm sure it's not till like twenty-five years, thirty years."
676,B,"Yeah,"
677,B,"the place I work at's, health insurance is kind of expensive."
678,B,"It's like hundred bucks a, a month or something for a family."
679,A,Yeah.
680,A,"Huh, well, I guess what we have is like a what they call a flex benefits plan where you, you get like a certain amount of dollars"
681,A,and then you spend it on a cafeteria of whatever you want or need.
682,A,"Otherwise you can, uh, guess you can put, also put money, hold money back and then either use or lose it and that doesn't get taxed or can just have that money, you know, put in your paycheck."
683,B,"Yeah,"
684,B,"we have one of those use it or lose it plans, too, where, uh, they'll basically pay for, uh, you know, child care type, uh, expenses."
685,B,"I can send in a, uh, can send in a request for payment"
686,B,"and they'll, uh, and they'll send me, a check for the amount they withheld."
687,B,"That's pretty good, you know."
688,B,"It's, uh, it saves a third off on taxes or something."
689,A,Yeah
690,A,"well, it depends on which company you work for."
