,section,text
107,RESULTS,"There was no significance difference between targeted temperature management at 33 C or 36 C on 180-day mortality [ log-rank test , p = 0.17 , hazard ratio 1.33 , 95 % confidence interval ( CI ) 0.88-1 .98 ] or ICU mortality ( 61 vs. 44 % , p = 0.06 ; relative risk 1.37 , 95 % CI 0.99-1 .91 ) ."
108,RESULTS,Serum lactate and the extended cardiovascular SOFA score were higher in the TTM33 group ( p < 0.01 ) .
109,CONCLUSIONS,We found no benefit in survival or severity of circulatory shock with targeted temperature management at 33 C as compared to 36 C in patients with shock on admission after OHCA .
110,BACKGROUND,"Youths with a family history of alcohol and other drug use disorders ( FH + ) are at a greater risk of developing substance use disorders than their peers with no such family histories ( FH - ) , and this increased risk may be related to impaired maturation of forebrain circuitry ."
111,BACKGROUND,FH + individuals have shown altered forebrain activity at rest and while performing cognitive tasks .
112,BACKGROUND,"However , it is not fully understood how forebrain activity is altered in FH + individuals , and ultimately how these alterations may contribute to substance use disorder risk ."
113,METHODS,"In this study , we tested 72 FH + and 32 FH - youths performing a go/no-go task and examined activations in blocks with only go trials ( Go Only ) , blocks with 50 % go and 50 % no-go trials ( Go/NoGo ) , and a contrast of those 2 blocks ."
114,RESULTS,"FH + youths had significantly greater cerebral activations in both the Go and Go/NoGo blocks than FH - youths in regions including the posterior cingulate/precuneus , bilateral middle/superior temporal gyrus , and medial superior frontal gyrus with no significant group differences in the subtraction between Go Only and Go/NoGo blocks ."
115,RESULTS,"Additionally , FH + youths had moderately slower reaction times on go trials in the Go Only blocks ."
116,CONCLUSIONS,Our findings suggest that global activation increase in FH + youths are modulated by FH density and are not specific to the inhibitory components of the task .
117,CONCLUSIONS,This pattern of increased activations in FH + youths may be at least partially due to impaired forebrain white matter development leading to greater activations/less efficient neural communication during task performance .
118,BACKGROUND,"Risk factors have been proposed for running injuries including ( a ) reduced muscular strength , ( b ) excessive joint movements and ( c ) excessive joint moments in the frontal and transverse planes ."
119,BACKGROUND,"To date , many running injury prevention programs have focused on a `` top down '' approach to strengthen the hip musculature in the attempt to reduce movements and moments at the hip , knee , and/or ankle joints ."
120,BACKGROUND,"However , running mechanics did not change when hip muscle strength increased ."
121,BACKGROUND,It could be speculated that emphasis should be placed on increasing the strength of the ankle joint for a `` ground up '' approach .
122,BACKGROUND,Strengthening of the large and small muscles crossing the ankle joint is assumed to change the force distribution for these muscles and to increase the use of smaller muscles .
123,BACKGROUND,"This would be associated with a reduction of joint and insertion forces , which could have a beneficial effect on injury prevention ."
124,BACKGROUND,"However , training of the ankle joint as an injury prevention strategy has not been studied ."
125,BACKGROUND,Ankle strengthening techniques include isolated strengthening or movement-related strengthening such as functional balance training .
126,BACKGROUND,"There is little knowledge about the efficacy of such training programs on strength alteration , gait or injury reduction ."
127,METHODS,"Novice runners will be randomly assigned to one of three groups : an isolated ankle strengthening group ( strength , n = 40 ) , a functional balance training group ( balance , n = 40 ) or an activity-matched control group ( control , n = 40 ) ."
128,METHODS,Isokinetic strength will be measured using a Biodex System 3 dynamometer .
129,METHODS,Running kinematics and kinetics will be assessed using 3D motion analysis and a force platform .
130,METHODS,Postural control will be assessed by quantifying the magnitude and temporal structure of the center of pressure trace during single leg stance on a force platform .
131,METHODS,"The change pre - and post-training in isokinetic strength , running mechanics , and postural control variables will be compared following the interventions ."
132,METHODS,Injuries rates will be compared between groups over 6months .
133,CONCLUSIONS,Avoiding injury will allow individuals to enjoy the benefits of participating in aerobic activities and reduce the healthcare costs associated with running injuries .
134,BACKGROUND,Current Controlled Trial NCT01900262 .
135,BACKGROUND,"Vitamin B12 deficiency causes neurologic and psychiatric disease , especially in older adults ."
136,BACKGROUND,Subacute combined degeneration is characterized by damage to the posterior and lateral spinal cord affecting the corticospinal tract .
137,OBJECTIVE,To test corticospinal tract projections using motor evoked potentials ( MEPs ) by transcranial magnetic stimulation ( TMS ) in asymptomatic older adults with low vitamin B12 ( B12 ) levels .
138,METHODS,Cross-sectional study of 53 healthy older adults ( > 70 years ) .
139,METHODS,"MEPs were recorded in the abductor pollicis brevis and tibialis anterior muscles , at rest and during slight tonic contraction ."
140,METHODS,Central motor conduction time ( CMCT ) was derived from the latency of MEPs and peripheral motor conduction time ( PMCT ) .
141,METHODS,Neurophysiological variables were analyzed statistically according to B12 status .
142,RESULTS,Median age was 74.33.6 years ( 58.5 % women ) .
143,RESULTS,Twenty-six out of the 53 subjects had low vitamin B12 levels ( B12 < 221pmol/l ) .
144,RESULTS,MEPs were recorded for all subjects in upper and lower extremities .
145,RESULTS,There were no significant differences in either latency or amplitude of MEPs and CMCT between low and normal B12 groups .
146,RESULTS,There was a significant PMCT delay in the lower extremities in the low B12 group ( p = 0.014 ) .
147,CONCLUSIONS,No subclinical abnormality of the corticospinal tract is detected in asymptomatic B12-deficient older adults .
148,CONCLUSIONS,The peripheral nervous system appears to be more vulnerable to damage attributable to this vitamin deficit .
149,CONCLUSIONS,The neurophysiological evaluation of asymptomatic older adults with lower B12 levels should be focused mainly in peripheral nervous system evaluation .
150,BACKGROUND,Uncontrolled hypertension ( HTN ) is a significant public health problem among blacks in the United States .
151,BACKGROUND,"Despite the proven efficacy of therapeutic lifestyle change ( TLC ) on blood pressure ( BP ) reduction in clinical trials , few studies have examined their effectiveness in church-based settings-an influential institution for health promotion in black communities ."
152,METHODS,"Using a cluster-randomized , 2-arm trial design , this study evaluates the effectiveness of a faith-based TLC intervention vs health education ( HE ) control on BP reduction among hypertensive black adults ."
153,METHODS,The intervention is delivered by trained lay health advisors through group TLC sessions plus motivational interviewing in 32 black churches .
154,METHODS,"Participants in the intervention group receive 11 weekly TLC sessions targeting weight loss , increasing physical activity , fruit , vegetable and low-fat dairy intake , and decreasing fat and sodium intake , plus 3 monthly individual motivational interviewing sessions ."
155,METHODS,Participants in the control group attend 11 weekly classes on HTN and other health topics delivered by health care experts .
156,METHODS,The primary outcome is change in BP from baseline to 6 months .
157,METHODS,"Secondary outcomes include level of physical activity , percent change in weight , and fruit and vegetable consumption at 6 months , and BP control at 9 months ."
158,CONCLUSIONS,"If successful , this trial will provide an alternative and culturally appropriate model for HTN control through evidence-based lifestyle modification delivered in churches by lay health advisors ."
159,BACKGROUND,The classification of clinical severity of Ebstein anomaly still remains a challenge .
160,BACKGROUND,The aim of this study was to focus on the interaction of the pathologically altered right heart with the anatomically-supposedly-normal left heart and to derive from cardiac magnetic resonance ( CMR ) a simple imaging measure for the clinical severity of Ebstein anomaly .
161,RESULTS,Twenty-five patients at a mean age of 2614 years with unrepaired Ebstein anomaly were examined in a prospective study .
162,RESULTS,"Disease severity was classified using CMR volumes and functional measurements in comparison with heart failure markers from clinical data , ECG , laboratory and cardiopulmonary exercise testing , and echocardiography ."
163,RESULTS,All examinations were completed within 24 hours .
164,RESULTS,A total right/left-volume index was defined from end-diastolic volume measurements in CMR : total right/left-volume index = ( RA + aRV + fRV ) / ( LA+LV ) .
165,RESULTS,Mean total right/left-volume index was 2.61.7 ( normal values : 1.10.1 ) .
166,RESULTS,"This new total right/left-volume index correlated with almost all clinically used biomarkers of heart failure : brain natriuretic peptide ( r = 0.691 ; P = 0.0003 ) , QRS ( r = 0.432 ; P = 0.039 ) , peak oxygen consumption/kg ( r = -0.479 ; P = 0.024 ) , ventilatory response to carbon dioxide production at anaerobic threshold ( r = 0.426 ; P = 0.048 ) , the severity of tricuspid regurgitation ( r = 0.692 ; P = 0.009 ) , tricuspid valve offset ( r = 0.583 ; P = 0.004 ) , and tricuspid annular plane systolic excursion ( r = 0.554 ; P = 0.006 ) ."
167,RESULTS,Previously described severity indices ( [ RA + aRV ] / [ fRV + LA+LV ] ) and fRV/LV end-diastolic volume corresponded only to some parameters .
168,CONCLUSIONS,"In patients with Ebstein anomaly , the easily acquired index of right-sided to left-sided heart volumes from CMR correlated well with established heart failure markers ."
169,CONCLUSIONS,"Our data suggest that the total right/left-volume index should be used as a new and simplified CMR measure , allowing more accurate assessment of disease severity than previously described scoring systems ."
170,OBJECTIVE,This study sought to investigate the association of beta-blocker therapy at discharge with clinical outcomes in patients with ST-segment elevation myocardial infarction ( STEMI ) after primary percutaneous coronary intervention ( PCI ) .
171,BACKGROUND,Limited data are available on the efficacy of beta-blocker therapy for secondary prevention in STEMI patients .
172,METHODS,"Between November 1 , 2005 and September 30 , 2010 , 20,344 patients were enrolled in nationwide , prospective , multicenter registries ."
173,METHODS,"Among these , we studied STEMI patients undergoing primary PCI who were discharged alive ( n = 8,510 ) ."
174,METHODS,"We classified patients into the beta-blocker group ( n = 6,873 ) and no-beta-blocker group ( n = 1,637 ) according to the use of beta-blockers at discharge ."
175,METHODS,"Propensity-score matching analysis was also performed in 1,325 patient triplets ."
176,METHODS,The primary outcome was all-cause death .
177,RESULTS,The median follow-up duration was 367 days ( interquartile range : 157 to 440 days ) .
178,RESULTS,All-cause death occurred in 146 patients ( 2.1 % ) of the beta-blocker group versus 59 patients ( 3.6 % ) of the no-beta-blocker group ( p < 0.001 ) .
179,RESULTS,"After 2:1 propensity-score matching , beta-blocker therapy was associated with a lower incidence of all-cause death ( 2.8 % vs. 4.1 % , adjusted hazard ratio : 0.46 , 95 % confidence interval : 0.27 to 0.78 , p = 0.004 ) ."
180,RESULTS,"The association with better outcome of beta-blocker therapy in terms of all-cause death was consistent across various subgroups , including patients with relatively low-risk profiles such as ejection fraction > 40 % or single-vessel disease ."
181,CONCLUSIONS,Beta-blocker therapy at discharge was associated with improved survival in STEMI patients treated with primary PCI .
182,CONCLUSIONS,"Our results support the current American College of Cardiology/American Heart Association guidelines , which recommend long-term beta-blocker therapy in all patients with STEMI regardless of reperfusion therapy or risk profile ."
183,OBJECTIVE,Local anesthetic wound infiltration is widely used as an effective adjunct during multimodal postoperative pain management .
184,OBJECTIVE,"The aim of this study was to evaluate the effectiveness of continuous wound infusion of ropivacaine in postoperative pain relief , opioid sparing , incidence of nausea and vomiting , and bowel and liver function improvement in patients undergoing open hepatectomy ."
185,METHODS,"Forty patients undergoing open hepatectomy were enrolled in this prospective , randomized , double-blinded , placebo-controlled trial ."
186,METHODS,Patients were divided into 2 groups : the 0.9 % saline continuous infusion group ( the control group ; n = 20 ) and the ropivacaine continuous infusion group ( the Ropi group ; n = 20 ) .
187,METHODS,"Outcomes measured postoperatively were pain score at rest and on movement , sufentanil consumption , incidence of nausea and vomiting , and sedation score across 48 postoperative hours ."
188,METHODS,"Time to bowel recovery , liver function change , mean length of hospitalization , patient satisfaction , and other data after 48 postoperative hours were collected until hospital discharge ."
189,RESULTS,Pain scores at rest were lower for the ropivacaine group and reached significance after 8 and 16 hours ( P < 0.01 ) .
190,RESULTS,"Sufentanil consumption ( 41.5021.80 vs. 89.7035.22 g ; P < 0.01 ) after 48 hours , time to bowel recovery ( 1.800.70 vs. 3.151.04 d ; P < 0.01 ) , incidence of nausea and vomiting ( 1.750.72 vs. 2.400.68 ; P < 0.05 ) , and mean length of hospitalization ( 5.62.44 vs. 7.352.85 d ; P < 0.01 ) were significantly reduced , and the sedation score and liver function change were also comparable between the 2 groups ."
191,RESULTS,"There was no difference with respect to pain scores on movement , nor with respect to patient satisfaction ."
192,CONCLUSIONS,Surgical wound infusion with ropivacaine after hepatectomy can improve pain relief at rest and accelerate recovery and discharge .
193,OBJECTIVE,"Tuberculosis ( TB ) is highly prevalent among HIV-infected people , including those receiving combination antiretroviral therapy ( cART ) , necessitating a well tolerated and efficacious TB vaccine for these populations ."
194,OBJECTIVE,We evaluated the safety and immunogenicity of the candidate TB vaccine M72/AS01 in adults with well controlled HIV infection on cART .
195,METHODS,"A randomized , observer-blind , controlled trial ( NCT00707967 ) ."
196,METHODS,"HIV-infected adults on cART in Switzerland were randomized 3:1:1 to receive two doses , 1 month apart , of M72/AS01 , AS01 or 0.9 % physiological saline ( N = 22 , N = 8 and N = 7 , respectively ) and were followed up to 6 months postdose 2 ( D210 ) ."
197,METHODS,Individuals with CD4 cell counts below 200 cells/l were excluded .
198,METHODS,Adverse events ( AEs ) including HIV-specific and laboratory safety parameters were recorded .
199,METHODS,"Cell-mediated ( ICS ) and humoral ( ELISA ) responses were evaluated before vaccination , 1 month after each dose ( D30 , D60 ) and D210 ."
200,RESULTS,"Thirty-seven individuals [ interquartile range ( IQR ) CD4 cell counts at screening : 438-872 cells/l ; undetectable HIV-1 viremia ] were enrolled ; 73 % of individuals reported previous BCG vaccination , 97.3 % tested negative for the QuantiFERON-TB assay ."
201,RESULTS,"For M72/AS01 recipients , no vaccine-related serious AEs or cART-regimen adjustments were recorded , and there were no clinically relevant effects on laboratory safety parameters , HIV-1 viral loads or CD4 cell counts ."
202,RESULTS,"M72/AS01 was immunogenic , inducing persistent and polyfunctional M72-specific CD4 T-cell responses [ medians 0.70 % ( IQR 0.37-1 .07 ) at D60 ] and 0.42 % ( 0.24-0 .61 ) at D210 , predominantly CD40LIL-2TNF - , CD40LIL-2 and CD40LIL-2TNF-IFN - ] ."
203,RESULTS,All M72/AS01 vaccines were seropositive for anti-M72 IgG after second vaccination until study end .
204,CONCLUSIONS,"M72/AS01 was clinically well tolerated and immunogenic in this population , supporting further clinical evaluation in HIV-infected individuals in TB-endemic settings ."
205,OBJECTIVE,The aim of this study was to investigate whether remedial hydration ( RH ) reduces the incidence of contrast-induced nephropathy ( CIN ) and short-term adverse events in ST-elevation myocardial infarction ( STEMI ) patients undergoing primary percutaneous coronary intervention ( PCI ) .
206,METHODS,A total of 216 consecutive STEMI patients were prospectively and randomly assigned into two groups : 108 patients in the RH group and 108 patients in the no RH ( control ) group .
